,Name,Id,Address,Coordinates,Reviews,Rating,Zip Code
0,L'Appart,C6f_MQaRwIbJ8diailVaCA,"['225 Liberty St', 'New York, NY 10281']","[40.712708, -74.015919]",135,5.0,10281
1,Vin Sur Vingt Bistro à Vins,UPk0-eVCBdEieFlu9WeJAA,"['230 E 51st St', 'New York, NY 10022']","[40.755755, -73.969142]",5,5.0,10022
2,Narcisse,mqaSFe9PL_10NsCNnGSo_g,"['344 E 59th St', 'New York, NY 10022']","[40.75975, -73.96254]",15,4.5,10022
3,Steak Frites Bistro,V3dHB6xAdd8_dH7t481PAw,"['496 9th Ave', 'New York, NY 10018']","[40.755591, -73.994449]",30,4.5,10018
4,Bistro Eloise,fAPkN79fe7Gjq7A6fj6s9Q,"['75-57 31st Ave', 'East Elmhurst, NY 11370']","[40.7587335, -73.8920429]",272,4.5,11370
5,Recette,ILwCoB-PD8n9ObGk_sac0A,"['103 Havemeyer St', 'Brooklyn, NY 11211']","[40.71326399774355, -73.95637202012806]",88,4.5,11211
6,Bar Lula,y2dSu-qwp1BmLfQRn_c-1Q,"['132 1st Ave', 'New York, NY 10009']","[40.72743, -73.98521]",45,4.5,10009
7,Le French Diner,kHeakps7Gj8EaImiOYaX8g,"['188 Orchard St', 'New York, NY 10002']","[40.7218274586187, -73.9879689992204]",150,4.5,10002
8,Vin Sur Vingt,ykTc4pZYEAY0Esd0yVFSOQ,"['66 W 84th St', 'New York, NY 10024']","[40.78492, -73.97291]",68,4.5,10024
9,Le Botaniste,-vBfKWJ1v9YdJQT5XUbcBQ,"['833 Lexington Ave', 'New York, NY 10065']","[40.7649986274526, -73.9659830279587]",454,4.5,10065
10,Le Rock,2P2yx60T04Te19tkRZE43w,"['45 Rockefeller Plz', 'New York, NY 10111']","[40.75917649953854, -73.97818621997159]",38,4.5,10111
11,L'Accolade,3zbz9kLrLKHCBeGrNhMMGA,"['302 Bleecker St', 'New York, NY 10014']","[40.732484, -74.003915]",140,4.5,10014
12,Boucherie West Village,s3jou_L_LVYGkNHiuhjlew,"['99 7th Ave S', 'New York, NY 10014']","[40.733063, -74.0028772]",2193,4.5,10014
13,Mino Brasserie,4yZzQKtaPJxSAxNUO20JcA,"['225 W 12th St', 'New York, NY 10011']","[40.73771, -74.00152]",64,4.5,10011
14,Boucherie Union Square,8XHbZIKDQbXhyKIGiukVeQ,"['225 Park Ave S', 'New York, NY 10003']","[40.73725824850519, -73.9882252705524]",1338,4.5,10003
15,Le Bernardin,vRrVSB-LegwUwIxpkeRVtQ,"['155 W 51st St', 'The Equitable Bldg', 'New York, NY 10019']","[40.761557, -73.981763]",2822,4.5,10019
16,Amelie,UJe9_p6NEl0kA6xHVo5PKw,"['566 Amsterdam Ave', 'New York, NY 10024']","[40.78875, -73.97464]",278,4.5,10024
17,La Grande Boucherie,DGhWO1sUWydVeR5j5ZZaMw,"['145 W 53rd St', 'New York, NY 10019']","[40.7626274, -73.98084109999999]",2035,4.5,10019
18,Barnea Bistro,7flJeg5Tnc06cQQ7jnBtxg,"['211 E 46th St', 'New York, NY 10017']","[40.75314, -73.97179]",60,4.5,10017
19,Amélie,ETgJqJHV7BW6pIr9Ox74sA,"['22 W 8th St', 'New York, NY 10011']","[40.7327, -73.99766]",2891,4.5,10011
20,Lamonte,28EoYA9TiHANksq662_3vQ,"['557 Driggs Ave', 'Brooklyn, NY 11211']","[40.71684, -73.95648]",18,4.5,11211
21,Le Crocodile,VpEy7E9fij06n7BRrzvEaw,"['80 Wythe Ave', 'Brooklyn, NY 11249']","[40.72191, -73.957873]",191,4.5,11249
22,La Sirene,FiRB9Ek3Xo9JHwXgBYITYg,"['558 Broome St', 'New York, NY 10013']","[40.7243642217227, -74.005708694458]",1700,4.5,10013
23,Excuse My French,iexl39DYyy_76Xq3ExaJkQ,"['96 Orchard St', 'New York, NY 10002']","[40.718437, -73.989807]",352,4.0,10002
24,Pastis,gtXP0CmOnBbgfnff7VXa7A,"['52 Gansevoort St', 'New York, NY 10014']","[40.73928, -74.00695]",450,4.0,10014
25,Quality Bistro,tmzWZtu9Nimn7Hfas9XmcA,"['120 W 55th St', 'New York, NY 10019']","[40.76306, -73.9786]",278,4.0,10019
26,La Brasserie,IYDOX3EelsDWW3kWeoE_Zw,"['411 Park Ave S', 'New York, NY 10016']","[40.74362, -73.98365]",42,4.0,10016
27,Mister French,OppTOs3uBwOG29yF45lb8A,"['24 E 21st St', 'New York, NY 10010']","[40.7393774, -73.9889987]",98,4.0,10010
28,La Grenouille,KIIYvTOc0Uv90aUHEGvoSg,"['3 E 52nd St', 'New York, NY 10022']","[40.75961, -73.97562]",486,4.0,10022
29,Maman,dwNmZYx74kAjTsk1hTVtjw,"['114 W 41st St', 'New York, NY 10036']","[40.75446, -73.98554]",82,4.0,10036
30,Le Parisien,csVEpHy5KJoFvM1qp5XwLQ,"['163 East 33rd St', 'New York, NY 10016']","[40.7454079308793, -73.9791478306885]",1046,4.0,10016
31,Vin Sur Vingt,CsZLG1VpdFAZiT_qRRmJ2A,"['1140 Broadway', 'New York, NY 10001']","[40.743927, -73.9887]",173,4.0,10001
32,Bistro Vendome,HUEj_yVB1E2mNNxW5PqUtQ,"['405 East 58th St', 'New York, NY 10022']","[40.7588875, -73.961963]",180,4.0,10022
33,La Sirène-UWS,EaNRl3vlDOsNF-gkCR5mBA,"['416 Amsterdam Ave', 'New York, NY 10024']","[40.7838, -73.97806]",115,4.0,10024
34,Chateau 49 Bar A Vin,9f6chaCx20d1A0Abo6NzUw,"['924 2nd Ave', 'New York, NY 10022']","[40.75428, -73.9687299]",136,4.0,10022
35,Le Coucou,obFs12x7mgYPGxgalBd22w,"['138 Lafayette St', 'New York, NY 10013']","[40.71909, -74.00013]",668,4.0,10013
36,Deux Amis,RQojRzAYA9Cq87PqwQq5yg,"['356 E 51st St', 'New York, NY 10022']","[40.7544765, -73.9660238]",208,4.0,10022
37,Pascalou,5XQgZQF-5N94bkQ2d_PJIQ,"['1308 Madison Ave', 'New York, NY 10128']","[40.78521, -73.95595]",289,4.0,10128
38,Copinette,Gc7OVEIs4HodL4hw9U3C3w,"['891 1st Ave', 'New York, NY 10022']","[40.75407, -73.96623]",209,4.0,10022
39,Café Henri,gISZs8okQgFIpd-yz9aC4w,"['1010 50th Ave', 'Long Island City, NY 11101']","[40.742559, -73.953697]",770,4.0,11101
40,Le Jardinier,lu0XMmcPyFGvIgqRcbU_4g,"['610 Lexington Ave', 'New York, NY 10022']","[40.7582033, -73.9713074]",53,4.0,10022
41,Claudette,aTFkjo0scqmOgsFF5kuGXg,"['24 5th Ave', 'New York, NY 10011']","[40.7331, -73.99596]",493,4.0,10011
42,Buvette,xQ445GaWVN5Aa3sFX9OoIg,"['42 Grove St', 'New York, NY 10014']","[40.732704, -74.00434640955953]",2077,4.0,10014
43,Loulou Petit Bistro & Speakeasy,m9zYRZFubncaWsQFIfNo5g,"['176 8th Ave', 'New York, NY 10011']","[40.742627091934104, -74.00005776653397]",442,4.0,10011
44,MaryLou,TjsclSn2PbJ9AV3S4oiXUw,"['41 St Marks Pl', 'New York, NY 10003']","[40.7285, -73.98707]",15,4.0,10003
45,Perrine,sBL7J7s4Rnul40-MB0hXbA,"['2 E 61st Street At Fifth Ave', 'Ground Floor', 'New York City, NY 10065']","[40.7653271962541, -73.97199900859833]",111,4.0,10065
46,Manny's Bistro,_FlytyN_g4CjBL14JvrjBw,"['225 Columbus Ave', 'New York, NY 10023']","[40.776204, -73.979266]",52,4.0,10023
47,Cafe d’Alsace,kmcgUxWhwlbmC-FAMTEF2g,"['1703 2nd Ave', 'New York, NY 10128']","[40.77942, -73.95084]",1339,4.0,10128
48,Friedman's,cCesIqo-LQt0cRlZAnrAZQ,"['132 W 31st St', 'New York, NY 10001']","[40.74839, -73.99062]",2807,4.0,10001
49,La Bergamote NYC,8xYvp9j7j8RCRQGsiRRujQ,"['177 9th Ave', 'New York, NY 10011']","[40.745044, -74.002863]",393,4.0,10011
